request,start_ns,first_text_ms,input_preparation_ms,prefill_api_ms,decode_api_ms,request_ms,input_tokens,decode_tokens,decode_benchmark_tokens_s,text_callbacks,output_utf8_bytes,output_sha256,error,decode_wall_tokens_s
0,428801642134496,1862.89901,7.313698,462.473125,22130.213585,22600.06671,77,201,9.08277584307711,200,1070,b9a22dfb93338b4dda05ce5a04316b5969a654caf0ce15577321d8907588507e,,9.082605517022172
1,428824278819175,488.412031,8.930938,378.109218,20526.458586,20913.58744,77,201,9.792628086785266,200,1070,b9a22dfb93338b4dda05ce5a04316b5969a654caf0ce15577321d8907588507e,,9.7922395701074
2,428845192595521,513.111042,15.970104,394.198229,20596.89645,21007.218742,77,201,9.758959297573478,200,1070,b9a22dfb93338b4dda05ce5a04316b5969a654caf0ce15577321d8907588507e,,9.758751785150622
3,428866200273482,500.694792,17.041875,381.977395,20591.785149,20990.9652,77,201,9.761336242834576,200,1070,b9a22dfb93338b4dda05ce5a04316b5969a654caf0ce15577321d8907588507e,,9.761174106352852
4,428887191583474,507.113541,18.068906,387.637604,20613.069576,21018.94494,77,201,9.75127487836653,200,1070,b9a22dfb93338b4dda05ce5a04316b5969a654caf0ce15577321d8907588507e,,9.75109501566066
