request,start_ns,first_text_ms,input_preparation_ms,prefill_api_ms,decode_api_ms,request_ms,input_tokens,decode_tokens,decode_benchmark_tokens_s,text_callbacks,output_utf8_bytes,output_sha256,error,decode_wall_tokens_s
0,427588550396365,1662.547812,13.261823,463.245938,21796.999836,22273.584054,77,201,9.221715837608544,200,1070,b9a22dfb93338b4dda05ce5a04316b5969a654caf0ce15577321d8907588507e,,9.221452562844348
1,427610862540055,488.693489,6.38052,379.648438,20671.050878,21057.165408,77,201,9.724036180631666,200,1070,b9a22dfb93338b4dda05ce5a04316b5969a654caf0ce15577321d8907588507e,,9.723743663846445
2,427631919884161,497.593229,13.96724,380.018437,20624.522075,21018.620826,77,201,9.745882727799827,200,1070,b9a22dfb93338b4dda05ce5a04316b5969a654caf0ce15577321d8907588507e,,9.745680373541456
3,427652938840716,496.658124,15.670937,379.866718,20669.059576,21064.712387,77,201,9.725036245996316,200,1070,b9a22dfb93338b4dda05ce5a04316b5969a654caf0ce15577321d8907588507e,,9.724680470387359
4,427674003689926,491.252448,12.536927,376.089271,20607.297179,20996.037701,77,201,9.754036574355041,200,1070,b9a22dfb93338b4dda05ce5a04316b5969a654caf0ce15577321d8907588507e,,9.753826436046662
