request,start_ns,first_text_ms,input_preparation_ms,prefill_api_ms,decode_api_ms,request_ms,input_tokens,decode_tokens,decode_benchmark_tokens_s,text_callbacks,output_utf8_bytes,output_sha256,error,decode_wall_tokens_s
0,427470545565160,1240.379687,10.35625,396.068385,12092.971089,12602.784214,77,201,16.621561221121006,200,1070,b9a22dfb93338b4dda05ce5a04316b5969a654caf0ce15577321d8907588507e,,16.621225546700718
1,427483186505468,375.751406,3.794948,239.876094,11195.52161,11541.297496,77,201,17.954123118676048,200,1070,b9a22dfb93338b4dda05ce5a04316b5969a654caf0ce15577321d8907588507e,,17.95360743357093
2,427494749505620,371.843541,3.793698,239.826823,11201.572652,11541.484162,77,201,17.944234364869907,200,1070,b9a22dfb93338b4dda05ce5a04316b5969a654caf0ce15577321d8907588507e,,17.94390897104186
