request,start_ns,first_text_ms,input_preparation_ms,prefill_api_ms,decode_api_ms,request_ms,input_tokens,decode_tokens,decode_benchmark_tokens_s,text_callbacks,output_utf8_bytes,error,decode_wall_tokens_s
0,427388999429514,427.157865,4.888334,246.919948,14005.356297,14377.683328,77,201,14.3518423445166,200,1070,,14.351652020666904
1,427403401790498,379.633594,3.684532,227.313125,13662.462078,13997.722287,77,201,14.711993462936942,200,1070,,14.711843213359073
